Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
1440,00:01:00.018,1.0454401162782843,1.7495207609953705,12.921549479166666,1.6121148003472223,1.5018446180555556,2.1346028645833335
1441,00:01:00.060,0.9854185353395665,1.7235423900462965,10.403645833333334,1.6526692708333333,1.3733995225694444,2.144558376736111
1442,00:01:00.102,0.9744582613925156,1.7032335069444444,5.596110026041667,1.5226779513888888,1.3927137586805556,2.194308810763889
1443,00:01:00.143,1.106231397320231,1.7803186487268519,5.298665364583333,1.5621744791666667,1.5461697048611112,2.2326117621527777
1444,00:01:00.185,1.181996086105675,1.7381275318287035,7.090250651041667,1.5074869791666667,1.5907660590277777,2.1161295572916665
1445,00:01:00.227,0.9210967681762473,1.272515190972222,4.593098958333333,1.0802951388888888,1.240966796875,1.4962836371527777
1446,00:01:00.269,0.894439027193403,1.1259403935185184,5.872802734375,0.9667697482638888,1.0567491319444444,1.3543023003472223
1447,00:01:00.310,0.7710705227177925,0.8817003038194443,6.10107421875,0.6846788194444444,0.873779296875,1.0866427951388888
1448,00:01:00.352,1.2305812600701935,1.1429488570601853,3.6039225260416665,0.8598904079861112,1.0905490451388888,1.4784071180555556
1449,00:01:00.394,1.4009692656892212,1.032497829861111,2.552490234375,0.7769639756944444,0.9879286024305556,1.3326009114583333
1450,00:01:00.435,0.9056619796911207,0.6750126591435186,2.469482421875,0.515869140625,0.6529134114583334,0.8562554253472222
1451,00:01:00.477,0.2310668296367044,0.248291015625,1.3212076822916667,0.14561631944444445,0.20372178819444445,0.3955349392361111
1452,00:01:00.519,0.5971065576945422,0.5575629340277778,1.1136881510416667,0.4111870659722222,0.4922688802083333,0.7692328559027778
1453,00:01:00.560,3.6174578977640666,2.033094618055556,3.6177571614583335,1.2601725260416667,1.9350043402777777,2.9041069878472223
1454,00:01:00.602,0.8481210560396298,0.7787000868055557,2.4763997395833335,0.5441623263888888,0.7955186631944444,0.9964192708333334
1455,00:01:00.644,0.7746641682721489,0.6635380497685185,1.7293294270833333,0.4458821614583333,0.6526150173611112,0.8921169704861112
1456,00:01:00.686,0.8257370261974444,0.41839373553240744,0.9269205729166666,0.23136393229166666,0.4182671440972222,0.6055501302083334
1457,00:01:00.727,0.40067466093666965,0.19600875289351852,0.3597005208333333,0.12223307291666667,0.1391330295138889,0.32666015625
1458,00:01:00.769,0.9588547390972033,0.3885181568287037,1.0514322916666667,0.20450846354166666,0.3652886284722222,0.5957573784722222
1459,00:01:00.811,1.249586162433423,0.4863371672453704,1.514892578125,0.3204752604166667,0.45751953125,0.6810167100694444
1460,00:01:00.852,1.303741654670551,0.52001953125,1.5494791666666667,0.3437228732638889,0.4928656684027778,0.7234700520833334
1461,00:01:00.894,1.2442316064431866,0.452247902199074,0.975341796875,0.2656792534722222,0.4350857204861111,0.6559787326388888
1462,00:01:00.936,0.7655096368994267,0.2683648003472222,0.6986490885416666,0.16805013020833334,0.22314453125,0.4138997395833333
1463,00:01:00.978,0.554045741765923,0.17918113425925927,0.13834635416666666,0.1011013454861111,0.12342664930555555,0.3130154079861111
1464,00:01:01.019,0.7750822512032076,0.25083188657407407,0.5049641927083334,0.13245985243055555,0.20176866319444445,0.4182671440972222
1465,00:01:01.061,0.7759484298096607,0.3221752025462963,0.6917317708333334,0.223876953125,0.2531467013888889,0.489501953125
1466,00:01:01.103,0.9789191810572038,0.5247576678240741,1.0445149739583333,0.2986111111111111,0.5366482204861112,0.739013671875
1467,00:01:01.144,1.0665482857533122,0.7060366030092592,2.2066243489583335,0.5587836371527778,0.6131998697916666,0.9461263020833334
1468,00:01:01.186,1.0630381406303815,0.8651891637731483,2.9536946614583335,0.7197808159722222,0.6855740017361112,1.1902126736111112
