time_seconds,timecode,hue_degrees,saturation,brightness,contrast,edge_density,motion_energy,dominant_hue_family
0.0,00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,red
1.0,00:01.000,39.528507232666016,0.038406867533922195,0.9257624745368958,0.20969556792478047,0.05279513888888889,0.9149937363834423,orange
2.0,00:02.000,39.81034851074219,0.04720820114016533,0.9186122417449951,0.21699208476339418,0.07447916666666667,0.019928308823529414,orange
3.0,00:03.000,39.40312576293945,0.05753200128674507,0.9151217341423035,0.23422873967997646,0.07463541666666666,0.019981753812636165,orange
4.0,00:04.000,40.74940872192383,0.05791395157575607,0.9144203662872314,0.23669302165791933,0.07420138888888889,0.013049360021786494,orange
5.0,00:05.000,42.43541717529297,0.03282339870929718,0.9383524060249329,0.1632183915912104,0.07043402777777778,0.03342674291938998,orange
6.0,00:06.000,217.477294921875,0.026345791295170784,0.915899395942688,0.007219941838420838,0.0,0.12508973311546842,blue
7.0,00:07.000,222.78329467773438,0.16648176312446594,0.6179028153419495,0.0364983909668339,0.004357638888888889,0.35645145697167757,blue
8.0,00:08.000,217.37437438964844,0.18948209285736084,0.6256570219993591,0.034066856271737486,0.00359375,0.006412922113289761,blue
9.0,00:09.000,223.9585418701172,0.19247134029865265,0.6214283108711243,0.05344439726022851,0.00890625,0.007970315904139434,blue
10.0,00:10.000,223.47027587890625,0.18665067851543427,0.625655472278595,0.06671691123320968,0.012291666666666666,0.013368464052287582,blue
11.0,00:11.000,222.16302490234375,0.17231354117393494,0.6230676174163818,0.06318698023460695,0.009114583333333334,0.02145867374727669,blue
12.0,00:12.000,239.6832275390625,0.2541460394859314,0.6298032402992249,0.11610296237596596,0.020069444444444445,0.05223733660130719,blue
13.0,00:13.000,234.02096557617188,0.1615561991930008,0.6366316676139832,0.17039455829120653,0.023038194444444444,0.07214882897603486,blue
14.0,00:14.000,228.52792358398438,0.16260671615600586,0.6379425525665283,0.17462189345192394,0.02362847222222222,0.005733455882352941,blue
15.0,00:15.000,229.2152099609375,0.1627400666475296,0.6418066024780273,0.1801253033538829,0.03090277777777778,0.08608898420479302,blue
16.0,00:16.000,25.115312576293945,0.7499679327011108,0.9048281908035278,0.050038584937561935,0.005572916666666667,0.10689998638344227,orange
17.0,00:17.000,24.073646545410156,0.744268536567688,0.9111835360527039,0.05609988206502175,0.01885416666666667,0.019645220588235295,orange
18.0,00:18.000,25.582674026489258,0.7391806840896606,0.9105940461158752,0.06434657316892982,0.02340277777777778,0.004581835511982571,orange
19.0,00:19.000,25.617603302001953,0.739520788192749,0.9102023243904114,0.06441975498575245,0.023125,0.0061220724400871465,orange
20.0,00:20.000,29.257186889648438,0.7271151542663574,0.9112847447395325,0.07946274069458807,0.02814236111111111,0.008033088235294117,orange
21.0,00:21.000,31.908645629882812,0.7189120650291443,0.9115374684333801,0.08911356034909568,0.031006944444444445,0.02065087145969499,orange
22.0,00:22.000,31.574270248413086,0.7204092144966125,0.9113377332687378,0.08773085379364846,0.028732638888888887,0.013379357298474946,orange
23.0,00:23.000,31.892187118530273,0.7191153764724731,0.9113203287124634,0.08893966896663451,0.03012152777777778,0.008298883442265795,orange
24.0,00:24.000,31.90916633605957,0.7191008925437927,0.9113344550132751,0.08893782457563378,0.030104166666666668,0.00032972494553376905,orange
25.0,00:25.000,32.99441146850586,0.713687002658844,0.9130770564079285,0.09271710493223091,0.03131944444444444,0.0035213779956427015,orange
26.0,00:26.000,33.6770133972168,0.7147098183631897,0.9118053913116455,0.09310922596297136,0.03123263888888889,0.00203921568627451,orange
27.0,00:27.000,30.15166664123535,0.7285998463630676,0.9103590846061707,0.07671399742754467,0.01611111111111111,0.02631107026143791,orange
28.0,00:28.000,25.840068817138672,0.7414616346359253,0.908593475818634,0.05906325911927477,0.016336805555555556,0.008171977124183006,orange
29.0,00:29.000,27.70486068725586,0.7435713410377502,0.9079931378364563,0.06288867559736303,0.01574652777777778,0.0070234204793028325,orange
30.0,00:30.000,29.69503402709961,0.7433367371559143,0.9062081575393677,0.07003944425469717,0.01987847222222222,0.006423679193899782,orange
31.0,00:31.000,26.7708683013916,0.7442436814308167,0.9077988266944885,0.059380118361908325,0.01576388888888889,0.008717592592592593,orange
32.0,00:32.000,33.09812545776367,0.7442300915718079,0.9066203236579895,0.06988829836065046,0.024444444444444446,0.010976307189542484,orange
33.0,00:33.000,29.294721603393555,0.0672965720295906,0.857532262802124,0.06500836131555977,0.013472222222222222,0.2551509395424837,orange
34.0,00:34.000,31.33013916015625,0.06779336929321289,0.8524232506752014,0.08365803719975483,0.022065972222222223,0.023748229847494553,orange
35.0,00:35.000,31.37215232849121,0.06824728101491928,0.8495973944664001,0.0904395172755538,0.026875,0.005842184095860566,orange
