Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.042,3.8327184606481484,72.403564453125,3.0986328125,2.7919108072916665,5.607611762152778
3,00:00:00.083,8.230676721643519,25.102945963541668,7.009548611111111,11.41037326388889,6.272108289930555
4,00:00:00.125,8.846254701967593,0.95458984375,6.380045572916667,15.890733506944445,4.267985026041667
5,00:00:00.167,12.587149160879628,0.6778971354166666,14.612440321180555,20.15041775173611,2.9985894097222223
6,00:00:00.209,12.124113859953702,0.6502278645833334,10.83645290798611,23.857042100694443,1.6788465711805556
7,00:00:00.250,12.276321976273147,0.3251139322916667,8.793375651041666,25.85552300347222,2.1800672743055554
8,00:00:00.292,13.288483796296296,0.4012044270833333,10.124701605902779,28.13066948784722,1.6100802951388888
9,00:00:00.334,11.205132378472221,0.4219563802083333,2.344021267361111,29.99557834201389,1.2757975260416667
10,00:00:00.375,12.186885127314815,0.3597005208333333,5.409369574652778,29.908555772569443,1.2427300347222223
11,00:00:00.417,10.623354311342593,0.4634602864583333,2.279758029513889,28.38506401909722,1.2052408854166667
12,00:00:00.459,1.0389268663194444,0.29052734375,0.412353515625,2.3309190538194446,0.3735080295138889
13,00:00:00.500,1.8921350549768519,0.311279296875,2.527126736111111,2.5889756944444446,0.560302734375
14,00:00:00.542,1.1260398582175926,0.15909830729166666,0.8553331163194444,2.0551215277777777,0.4676649305555556
15,00:00:00.584,1.9481969762731481,0.23518880208333334,2.756076388888889,2.4956597222222223,0.5928548177083334
16,00:00:00.626,1.3523582175925926,0.3251139322916667,1.4211968315972223,2.118136935763889,0.5177408854166666
17,00:00:00.667,1.3148148148148149,0.166015625,1.1878526475694444,2.295138888888889,0.4614529079861111
18,00:00:00.709,1.707917390046296,0.4150390625,3.1339246961805554,1.6929796006944444,0.2968478732638889
19,00:00:00.751,1.7521882233796298,0.4634602864583333,2.1553548177083335,2.4070909288194446,0.6941189236111112
20,00:00:00.792,1.1565936053240742,0.4496256510416667,0.9823947482638888,2.080105251736111,0.4072808159722222
21,00:00:00.834,2.1374421296296298,0.8439127604166666,3.7774251302083335,2.074462890625,0.5604383680555556
22,00:00:00.876,1.507007740162037,0.53955078125,2.1310492621527777,1.8173828125,0.5725911458333334
23,00:00:00.918,1.4915907118055556,0.20060221354166666,2.980197482638889,0.9459635416666666,0.5486111111111112
24,00:00:00.959,1.8875325520833333,0.3181966145833333,3.5995551215277777,1.7134602864583333,0.3495822482638889
25,00:00:01.001,1.9259620949074074,0.6502278645833334,4.344265407986111,0.6495225694444444,0.7840983072916666
26,00:00:01.043,0.7893247251157408,0.2628580729166667,1.3334418402777777,0.4694552951388889,0.5650770399305556
27,00:00:01.084,1.3313982928240742,0.5326334635416666,2.5381401909722223,0.7622341579861112,0.6938205295138888
28,00:00:01.126,1.0460340711805556,0.29052734375,2.0919053819444446,0.4851888020833333,0.5610080295138888
29,00:00:01.168,1.0046477141203705,0.4150390625,1.8812391493055556,0.5590006510416666,0.5737033420138888
30,00:00:01.210,1.1561234085648147,0.498046875,2.4127332899305554,0.4680718315972222,0.5875651041666666
31,00:00:01.251,1.6049171730324074,5.782877604166667,3.3748372395833335,0.6885579427083334,0.7513563368055556
32,00:00:01.293,1.0325068721064816,0.3389485677083333,1.5636121961805556,0.8843587239583334,0.6495496961805556
33,00:00:01.335,0.759521484375,0.7816569010416666,1.0504557291666667,0.6109483506944444,0.6171603732638888
34,00:00:01.376,0.8044614438657408,0.8854166666666666,1.3060709635416667,0.5406901041666666,0.5666232638888888
35,00:00:01.418,0.9188006365740741,0.62255859375,1.4949001736111112,0.6001790364583334,0.6613226996527778
36,00:00:01.460,0.9661910445601851,0.5326334635416666,1.6499294704861112,0.6622721354166666,0.5863715277777778
37,00:00:01.501,0.7855450665509259,0.726318359375,1.0930447048611112,0.6330023871527778,0.6305881076388888
38,00:00:01.543,0.7179181134259259,0.2836100260416667,0.922607421875,0.6262478298611112,0.6048990885416666
39,00:00:01.585,0.9181134259259259,0.5118815104166666,1.3064778645833333,0.7371690538194444,0.710693359375
40,00:00:01.627,1.0905671296296295,0.6778971354166666,1.9181043836805556,0.7329915364583334,0.62060546875
41,00:00:01.668,0.6922110098379629,1.0652669270833333,0.7812228732638888,0.7088216145833334,0.5865885416666666
